ID,EVALUATION_RATING,REPORTS_TO,FEEDBACK_COMMENT,SATISFACTION_INDEX
100037,4.8,100005,My bosses  listen to me on our vision of the future,4.1
100038,4.4,100014,My peers  provide guidance about generating revenue,3.4
100039,4.3,100013,My bosses do not communicate about our strategy,3.4
100040,4.8,100008,My bosses  provide guidance about our strategy,4.3
100041,4,100001,My peers  listen to me on generating revenue,3.7
100042,3.5,100003,My peers  communicate about our strategy,3.3
100043,3.2,100009,My peers do not provide guidance about our strategy,3.1
100044,4.8,100012,My peers  provide guidance about providing better service,4.9
100045,4.3,100008,My bosses do not communicate about providing better service,4
100046,3.8,100013,My bosses  provide guidance about our strategy,4.5
100047,3.8,100009,My peers do not communicate about our vision of the future,3.6
100048,3.6,100002,My bosses  communicate about generating revenue,3.2
100049,4.2,100008,My bosses do not listen to me on generating revenue,3.3
100050,3.7,100002,My peers  communicate about generating revenue,4.4
100051,3.4,100007,My bosses  provide guidance about generating revenue,4.4
100052,3.2,100004,My peers  provide guidance about providing better service,4.2
100053,3.5,100007,My peers  support our strategy,4.9
100054,3.4,100006,My peers  listen to me on our vision of the future,4.2
100055,3.7,100001,My bosses do not support our vision of the future,3.3
100056,3.6,100010,My peers  support our vision of the future,3.8
100057,3.2,100004,My bosses do not provide guidance about generating revenue,3
100058,4.8,100001,My bosses do not listen to me on our strategy,4.8
100059,4.5,100008,My bosses do not support generating revenue,4.7
100060,4,100014,My peers  provide guidance about our vision of the future,4.6
100061,4.9,100003,My bosses  communicate about our strategy,3.8
100062,3.9,100005,My peers  provide guidance about our vision of the future,3.3
100063,3.1,100005,My bosses  provide guidance about our strategy,4.1
100064,3.9,100004,My bosses  provide guidance about our vision of the future,4.8
100065,3.9,100011,My bosses  communicate about providing better service,4.3
100066,4.7,100009,My bosses  listen to me on providing better service,4.9
100067,4.6,100014,My bosses do not listen to me on providing better service,3.1
100068,3.9,100003,My bosses  provide guidance about generating revenue,3.3
100069,3.4,100014,My peers do not communicate about our vision of the future,3.4
100070,4.2,100002,My bosses  support generating revenue,3.6
100071,3.9,100002,My bosses  communicate about generating revenue,4.9
100072,3.1,100009,My peers  support our vision of the future,3.5
100073,4.3,100007,My peers do not listen to me on providing better service,3.9
100074,4.4,100002,My peers  listen to me on our vision of the future,4.9
100075,4.8,100007,My peers do not provide guidance about generating revenue,3.5
100076,4,100009,My bosses  listen to me on our vision of the future,4.3
100077,3.9,100008,My peers  listen to me on our vision of the future,3.2
100078,3.3,100013,My peers do not support providing better service,4.8
100079,4.5,100005,My peers do not communicate about generating revenue,3.8
100080,3.3,100011,My peers  support generating revenue,3.3
100081,3.8,100014,My peers  support our vision of the future,4.7
100082,3.3,100004,My bosses do not provide guidance about providing better service,3.5
100083,3.3,100008,My bosses do not listen to me on generating revenue,3
100084,3.2,100009,My bosses  communicate about our vision of the future,4.4
100085,3.2,100005,My bosses  provide guidance about generating revenue,3
100086,4.4,100013,My peers do not support generating revenue,3.5
100087,3.5,100001,My bosses  communicate about generating revenue,4.7
100088,3.7,100006,My bosses do not support our strategy,3.9
100089,3.8,100005,My peers do not listen to me on our vision of the future,3.8
100090,4.6,100006,My peers  support providing better service,3
100091,3.6,100005,My peers do not listen to me on generating revenue,4.2
100092,3.5,100007,My peers do not communicate about generating revenue,4.7
100093,3.9,100013,My bosses do not listen to me on our strategy,3.8
100094,4,100012,My bosses  provide guidance about providing better service,4.5
100095,3.5,100003,My bosses do not communicate about generating revenue,4.7
100096,3.5,100003,My bosses  listen to me on our vision of the future,4.3
100097,4.3,100010,My bosses do not provide guidance about our strategy,4.1
100098,4.6,100005,My bosses do not support our strategy,3.1
100099,4.5,100004,My peers  provide guidance about generating revenue,3.2
100100,3.8,100006,My bosses do not provide guidance about providing better service,4.1
100101,3,100010,My bosses do not provide guidance about providing better service,4.4
100102,4,100011,My bosses do not support providing better service,3.2
100103,3.2,100013,My bosses do not support providing better service,4.1
100104,4.2,100013,My peers  listen to me on providing better service,4.7
100105,4.5,100009,My peers do not listen to me on providing better service,4.1
100106,3.9,100002,My peers  provide guidance about generating revenue,3.2
100107,4.8,100002,My bosses do not support providing better service,3.3
100108,4.1,100010,My bosses  communicate about providing better service,4.3
100109,3.5,100006,My peers do not listen to me on our strategy,3
100110,4.4,100004,My bosses do not communicate about generating revenue,3.4
100111,4.9,100010,My bosses do not communicate about our strategy,4.5
100112,3.2,100006,My peers do not provide guidance about our strategy,4.5
100113,3.9,100012,My peers do not listen to me on generating revenue,4.3
100114,3.1,100006,My bosses do not communicate about providing better service,3.3
100115,3.6,100011,My peers do not provide guidance about providing better service,3
100116,4.5,100002,My bosses  support providing better service,4
100117,4.3,100008,My bosses  provide guidance about our strategy,3
100118,4,100002,My bosses  listen to me on generating revenue,3.8
100119,4.3,100009,My peers  support our strategy,3.8
100120,4.6,100007,My bosses do not listen to me on our vision of the future,4.2
100121,4.1,100005,My bosses do not support our strategy,3.8
100122,4.2,100009,My bosses do not provide guidance about providing better service,3.7
100123,4.1,100010,My peers  support our strategy,3
100124,4.1,100008,My bosses  communicate about our vision of the future,3
100125,4.8,100011,My bosses  communicate about our strategy,3.8
100126,3,100005,My bosses do not communicate about providing better service,3
100127,3.4,100011,My peers  listen to me on our vision of the future,4.1
100128,3.2,100012,My peers  listen to me on providing better service,3.6
100129,3.9,100004,My peers  listen to me on our vision of the future,3.4
100130,4.4,100006,My peers do not provide guidance about generating revenue,3.2
100131,4.6,100002,My bosses  provide guidance about generating revenue,3.3
100132,4.5,100003,My peers do not listen to me on our vision of the future,3.5
100133,4.3,100004,My peers  communicate about generating revenue,4.7
100134,4,100014,My bosses  support our vision of the future,4
100135,4.5,100014,My peers  provide guidance about generating revenue,3.2
100136,3.6,100005,My bosses do not support providing better service,4.7
100137,4.9,100005,My peers do not communicate about generating revenue,3.4
100138,3.4,100007,My bosses  listen to me on generating revenue,4.1
100139,4,100005,My bosses  communicate about our vision of the future,4.7
100140,3.3,100010,My bosses  provide guidance about our vision of the future,4.4
100141,3.3,100012,My peers  provide guidance about our strategy,4.9
100142,4.9,100003,My peers  listen to me on our vision of the future,4
100143,3.7,100008,My peers  listen to me on our strategy,4.7
100144,4.3,100007,My peers  listen to me on providing better service,4.2
100145,3.1,100011,My peers do not support our strategy,3.6
100146,4.5,100009,My peers  provide guidance about providing better service,4.6
100147,4.9,100001,My peers  support our strategy,4.8
100148,3.8,100004,My bosses do not listen to me on our strategy,4.5
100149,4.8,100002,My peers do not support generating revenue,4.4
100150,4.4,100013,My bosses do not communicate about our strategy,3.4
100151,3.9,100006,My peers  listen to me on our vision of the future,3.2
100152,4.6,100002,My bosses  support providing better service,4.3
100153,3.9,100010,My bosses do not listen to me on our strategy,4.5
100154,3.9,100009,My bosses  support providing better service,4.4
100155,4.9,100010,My bosses do not provide guidance about our strategy,3.1
100156,4.3,100001,My peers  provide guidance about our vision of the future,4.1
100157,4,100009,My bosses do not provide guidance about generating revenue,3.2
100158,4,100008,My bosses do not provide guidance about generating revenue,4.4
100159,3.7,100014,My bosses  provide guidance about our strategy,4
100160,3.2,100005,My peers  communicate about providing better service,4.4
100161,4,100005,My bosses  provide guidance about providing better service,4.1
100162,4.2,100002,My peers do not support our vision of the future,4.1
100163,3.9,100013,My bosses  support our strategy,3.9
100164,3.5,100005,My bosses  support our strategy,3.8
100165,3,100012,My peers  listen to me on our strategy,4
100166,3,100005,My bosses do not listen to me on providing better service,4.8
100167,3.3,100004,My bosses do not communicate about our vision of the future,3.5
100168,4.9,100005,My bosses  listen to me on our strategy,3.1
100169,3.9,100012,My peers do not listen to me on providing better service,3.7
100170,3.2,100007,My bosses do not provide guidance about generating revenue,3.2
100171,3.1,100011,My peers do not provide guidance about our vision of the future,3.8
100172,3.7,100012,My bosses  support generating revenue,3.1
100173,3.9,100005,My bosses  listen to me on our vision of the future,3.6
100174,3.3,100014,My peers do not listen to me on our strategy,4.9
100175,4.9,100007,My peers do not communicate about our vision of the future,4.5
100176,3.2,100001,My peers  listen to me on our vision of the future,4.4
100177,4.5,100007,My peers do not support our strategy,4.8
100178,4.6,100010,My bosses do not listen to me on our strategy,3.2
100179,3.7,100003,My bosses  provide guidance about providing better service,4.7
100180,3.9,100007,My peers  support providing better service,3
100181,4.3,100010,My peers do not support our strategy,4.2
100182,4.8,100001,My bosses  listen to me on our strategy,3.3
100183,4.8,100004,My peers do not listen to me on our strategy,3.6
100184,3.8,100014,My peers  communicate about our strategy,3.1
100185,3.5,100008,My bosses do not communicate about our vision of the future,3.1
100186,4.6,100002,My bosses  listen to me on providing better service,3.3
100187,3.3,100009,My bosses  listen to me on providing better service,4.2
100188,3.9,100007,My bosses  listen to me on our strategy,3.7
100189,4.1,100001,My peers do not communicate about our strategy,3.6
100190,3.1,100009,My peers  support our strategy,3.8
100191,4,100012,My peers  support providing better service,3.1
100192,3.9,100010,My bosses do not provide guidance about providing better service,4.8
100193,3.1,100014,My bosses do not provide guidance about generating revenue,4.2
100194,3.7,100006,My bosses do not listen to me on providing better service,3.9
100195,3.7,100007,My peers  listen to me on our vision of the future,3.8
100196,4.3,100005,My peers do not listen to me on our strategy,4.4
100197,4.5,100002,My peers  communicate about our strategy,3
100198,4.7,100008,My peers do not support our strategy,3.9
100199,3.4,100007,My bosses do not communicate about providing better service,3.2
100200,4.6,100007,My peers do not provide guidance about generating revenue,3.5
100201,4.5,100002,My bosses  provide guidance about our strategy,4
100202,3.5,100002,My bosses  provide guidance about our strategy,4.6
100203,4,100013,My peers  support our strategy,3.2
100204,4.8,100005,My bosses do not support our vision of the future,4.5
100205,4.9,100010,My bosses  provide guidance about providing better service,3.6
100206,4,100004,My bosses do not listen to me on our strategy,4.7
100207,3.6,100009,My peers  provide guidance about our strategy,3.4
100208,4.9,100006,My bosses do not listen to me on providing better service,4.5
100209,4.2,100009,My bosses  listen to me on our strategy,3
100210,4.1,100009,My bosses do not provide guidance about our strategy,4.7
100211,3.2,100008,My bosses do not support providing better service,4.7
100212,4.8,100006,My bosses do not support our strategy,3.3
100213,3.5,100001,My peers do not communicate about our vision of the future,3.8
100214,4.4,100012,My peers  support our vision of the future,4.3
100215,3.7,100013,My bosses do not listen to me on generating revenue,4
100216,3.7,100011,My peers do not communicate about our strategy,4.8
100217,3.6,100008,My peers do not listen to me on providing better service,4.4
100218,3.9,100008,My peers  provide guidance about our vision of the future,4.8
100219,4.9,100013,My peers do not listen to me on providing better service,3.3
100220,4.5,100002,My peers  provide guidance about our vision of the future,4
100221,4.1,100009,My peers  communicate about our strategy,4.5
100222,3.4,100001,My bosses do not communicate about providing better service,4.8
100223,4,100003,My peers do not provide guidance about our vision of the future,3.5
100224,4.7,100010,My peers  communicate about generating revenue,3.4
100225,3.7,100007,My bosses  support generating revenue,4.3
100226,4.9,100006,My bosses do not listen to me on our strategy,3
100227,4.6,100002,My bosses  listen to me on our strategy,3.1
100228,4.8,100006,My peers do not listen to me on our strategy,3.1
100229,4.4,100012,My bosses  provide guidance about providing better service,4.5
100230,4.9,100011,My peers do not provide guidance about providing better service,4.1
100231,3,100009,My peers  communicate about our strategy,4.7
100232,4.2,100002,My peers do not provide guidance about our strategy,4
100233,4.6,100013,My bosses do not provide guidance about our strategy,4.2
100234,3.2,100002,My bosses do not support our vision of the future,3.5
100235,3.7,100006,My peers  provide guidance about providing better service,4.1
100236,4,100005,My bosses do not support our vision of the future,3.7
100237,3.8,100010,My bosses  support providing better service,4.8
100238,4.3,100013,My peers  listen to me on providing better service,3.3
100239,3.5,100010,My peers do not communicate about generating revenue,3.7
100240,3,100003,My peers  support providing better service,3.1
100241,4.5,100001,My peers do not listen to me on our strategy,3.9
100242,3.6,100002,My peers  listen to me on our vision of the future,3.8
100243,3.3,100010,My bosses  communicate about our strategy,3.8
100244,4.4,100009,My bosses  provide guidance about our vision of the future,4.8
100245,4.4,100005,My peers  communicate about generating revenue,3.1
100246,4.7,100002,My bosses  support our strategy,3.7
100247,3.7,100011,My peers do not provide guidance about our vision of the future,3.9
100248,3.7,100013,My peers  listen to me on our vision of the future,3.4
100249,3,100011,My bosses  support our vision of the future,3.4
100250,4.5,100002,My bosses  support our strategy,4.3
100251,3.6,100010,My peers do not communicate about our vision of the future,4
100252,3.8,100010,My peers do not provide guidance about our strategy,4.4
100253,3,100014,My bosses  communicate about providing better service,4
100254,3.1,100008,My bosses do not listen to me on generating revenue,3.8
100255,4,100003,My bosses do not listen to me on our strategy,4.6
100256,3.5,100009,My bosses do not provide guidance about generating revenue,3.2
100257,4.3,100007,My peers  communicate about providing better service,4.1
100258,3.7,100014,My bosses do not listen to me on our strategy,3.2
100259,4.1,100004,My bosses  communicate about our strategy,4
100260,3.2,100007,My bosses  support our vision of the future,3.9
100261,4.6,100005,My peers do not provide guidance about our strategy,3.3
100262,4,100004,My bosses  support our vision of the future,3.7
100263,3.4,100002,My peers  listen to me on our strategy,3.1
100264,4.1,100001,My bosses  listen to me on providing better service,4
100265,3.3,100006,My bosses do not provide guidance about our strategy,3.4
100266,4,100008,My peers do not provide guidance about our strategy,4.8
100267,3.8,100012,My bosses do not listen to me on generating revenue,4
100268,3.6,100010,My bosses  support generating revenue,3.1
100269,4.8,100013,My bosses do not provide guidance about our strategy,3.8
100270,3.3,100010,My bosses  communicate about generating revenue,3.4
100271,3.4,100003,My peers do not communicate about our vision of the future,4.3
100272,3.5,100010,My bosses  support providing better service,4.9
100273,4.4,100012,My peers  support our strategy,3.9
100274,3.4,100002,My peers do not communicate about providing better service,4.1
100275,4.4,100014,My peers  provide guidance about our strategy,4.3
100276,3,100007,My peers  listen to me on our vision of the future,3.4
100277,4.8,100009,My bosses  provide guidance about our strategy,3.3
100278,3.9,100004,My peers  listen to me on generating revenue,4.2
100279,4.5,100003,My bosses do not support our strategy,3.4
100280,4.7,100004,My peers  listen to me on providing better service,3.8
100281,3.6,100007,My bosses  communicate about generating revenue,3.3
100282,3.5,100011,My peers do not listen to me on providing better service,3.5
100283,3.3,100007,My peers  listen to me on providing better service,4.6
100284,4.4,100009,My bosses  support our vision of the future,4.4
100285,3.6,100005,My peers  communicate about our vision of the future,4.2
100286,3.8,100009,My bosses do not provide guidance about generating revenue,4.2
100287,3.9,100014,My peers  provide guidance about our strategy,4.6
100288,3.5,100013,My peers  communicate about our vision of the future,4.3
100289,3.2,100014,My peers do not support our strategy,4.4
100290,3.1,100010,My peers  support providing better service,4.3
100291,4.5,100001,My peers do not listen to me on our vision of the future,3.7
100292,4.4,100008,My bosses  support providing better service,3.1
100293,4.5,100002,My bosses do not provide guidance about our vision of the future,4.1
100294,3.4,100007,My bosses  provide guidance about providing better service,3.6
100295,3.5,100005,My bosses  support our vision of the future,3
100296,4.9,100009,My bosses  listen to me on generating revenue,3.4
100297,4.4,100002,My bosses do not provide guidance about our vision of the future,4.4
100298,3.9,100012,My peers do not support our strategy,3.6
100299,3.5,100013,My peers  support generating revenue,3.1
100300,3,100007,My bosses  communicate about providing better service,4.2
100301,3.9,100011,My bosses  provide guidance about our strategy,3.8
100302,3.5,100005,My peers  communicate about providing better service,4.1
100303,3.9,100004,My peers  support our strategy,3.2
100304,3.9,100004,My bosses do not provide guidance about generating revenue,3.1
100305,3.5,100014,My peers  support our vision of the future,3
100306,3.9,100010,My peers do not listen to me on generating revenue,3.1
100307,4.6,100011,My bosses do not listen to me on providing better service,3.1
100308,3.3,100008,My peers do not support providing better service,4.4
100309,3.7,100007,My peers  listen to me on providing better service,3.3
100310,4.5,100009,My peers do not communicate about providing better service,3.8
100311,3,100011,My peers do not listen to me on our strategy,3.3
100312,4.4,100003,My bosses do not communicate about generating revenue,4
100313,4.4,100002,My bosses do not communicate about our strategy,3.5
100314,3.1,100008,My bosses  support our strategy,4.8
100315,4.7,100014,My peers do not communicate about generating revenue,4.2
100316,4,100010,My bosses do not support providing better service,4.1
100317,3,100010,My peers do not provide guidance about providing better service,3.4
100318,3,100001,My bosses do not provide guidance about generating revenue,3.7
100319,4.9,100010,My bosses do not communicate about providing better service,3.3
100320,3.6,100013,My bosses  support our strategy,3.9
100321,4.3,100001,My peers do not support generating revenue,3.9
100322,4.4,100008,My bosses do not support providing better service,3.3
100323,3.9,100007,My bosses do not communicate about providing better service,4.1
100324,3.3,100006,My bosses do not support our vision of the future,4.6
100325,3.9,100008,My peers  provide guidance about providing better service,3.5
100326,3.8,100012,My peers  listen to me on generating revenue,3.5
100327,3.9,100003,My bosses  listen to me on generating revenue,4.1
100328,3.9,100004,My peers  support our vision of the future,3.5
100329,3.1,100004,My peers do not listen to me on our strategy,4.1
100330,4.8,100005,My peers  communicate about providing better service,4.1
100331,3.2,100010,My peers do not listen to me on our strategy,3.3
100332,3.7,100010,My peers do not listen to me on our vision of the future,3.9
100333,3.6,100011,My bosses  listen to me on generating revenue,3.4
100334,3.6,100013,My peers do not listen to me on our vision of the future,4.2
100335,4.1,100012,My bosses  provide guidance about generating revenue,3.7
100336,4,100008,My peers do not support our strategy,4
100337,3.1,100002,My bosses  communicate about providing better service,4.8
100338,4.7,100010,My bosses do not provide guidance about our strategy,3.8
100339,4.2,100006,My bosses do not provide guidance about our vision of the future,3.5
100340,3.2,100010,My bosses do not listen to me on generating revenue,3.8
100341,4.9,100003,My peers  support providing better service,3.3
100342,4.9,100009,My bosses  communicate about our strategy,3.3
100343,4.1,100014,My peers do not communicate about generating revenue,4.2
100344,4.6,100012,My bosses do not provide guidance about our vision of the future,4
100345,4.7,100009,My peers do not support providing better service,3
100346,3.6,100001,My bosses do not communicate about generating revenue,4.2
100347,3.2,100009,My bosses do not communicate about our strategy,3.4
100348,3.4,100006,My peers  communicate about our strategy,4.7
100349,4.3,100009,My bosses do not support our vision of the future,4.4
100350,4.1,100012,My bosses  listen to me on our vision of the future,3.3
100351,3.5,100005,My peers do not support providing better service,4.2
100352,3.3,100005,My peers  communicate about providing better service,4.2
100353,3.9,100013,My bosses  communicate about generating revenue,4.6
100354,3.2,100014,My bosses  provide guidance about our vision of the future,4.6
100355,3.8,100010,My bosses  provide guidance about providing better service,4.5
100356,4.7,100012,My bosses do not listen to me on providing better service,3.5
100357,3.8,100008,My peers  support our strategy,3.3
100358,3.9,100003,My bosses do not communicate about our strategy,4.3
100359,4.2,100002,My bosses  support our vision of the future,4.4
100360,3.3,100006,My peers do not communicate about generating revenue,4.3
100361,4.5,100014,My bosses do not communicate about our vision of the future,4.7
100362,3,100006,My peers do not support providing better service,4.3
100363,3.5,100009,My bosses do not listen to me on providing better service,3.5
100364,4.5,100001,My peers do not support generating revenue,3.3
100365,4.8,100008,My bosses do not provide guidance about our strategy,3.6
100366,4.1,100007,My bosses do not support our vision of the future,4.1
100367,4.5,100002,My bosses  communicate about generating revenue,4.9
100368,3.7,100007,My peers do not provide guidance about our strategy,3
100369,4.5,100012,My bosses do not support our vision of the future,4.7
100370,4.7,100003,My peers  provide guidance about our strategy,3.3
100371,3.9,100002,My bosses do not support our strategy,4.3
100372,3.9,100014,My bosses  listen to me on our strategy,3.3
100373,3.7,100003,My bosses  provide guidance about providing better service,3.6
100374,4.4,100004,My bosses do not communicate about our strategy,4.6
100375,4.8,100001,My bosses  support our strategy,4.6
100376,3.8,100011,My peers do not listen to me on our vision of the future,4.7
100377,3.8,100014,My peers  listen to me on our vision of the future,4
100378,3.3,100006,My peers do not provide guidance about providing better service,3.5
100379,3.7,100011,My bosses do not provide guidance about our strategy,3.8
100380,4.8,100007,My peers  listen to me on our vision of the future,3.2
100381,3.6,100012,My peers do not provide guidance about providing better service,3.7
100382,3.7,100007,My bosses do not support our vision of the future,4.7
100383,3.3,100009,My peers do not communicate about providing better service,3.5
100384,3.3,100014,My bosses do not provide guidance about providing better service,3.2
100385,4.9,100010,My bosses do not listen to me on generating revenue,4.2
100386,4.2,100007,My peers  support our vision of the future,4.3
100387,3.2,100001,My bosses  provide guidance about generating revenue,3.9
100388,3.9,100002,My peers  listen to me on generating revenue,4.5
100389,3,100002,My bosses  support generating revenue,3.5
100390,3.4,100013,My bosses do not communicate about providing better service,4.6
100391,3.3,100004,My peers  support providing better service,4.9
100392,4.2,100002,My peers do not support our vision of the future,4.1
100393,3.3,100014,My peers  listen to me on our vision of the future,3.6
100394,3.1,100009,My bosses  listen to me on our vision of the future,3.1
100395,3.2,100012,My bosses  provide guidance about providing better service,4.5
100396,3.7,100005,My bosses do not support providing better service,4
100397,4,100014,My peers do not communicate about our strategy,4.2
100398,3.7,100013,My peers do not provide guidance about our vision of the future,4.5
100399,4.2,100001,My bosses  communicate about our vision of the future,4.2
100400,3.8,100005,My bosses do not support our strategy,3.5
100401,3.3,100008,My peers  listen to me on our strategy,4.7
100402,4.3,100010,My peers do not support generating revenue,4.8
100403,4.8,100004,My bosses do not communicate about providing better service,3.8
100404,4.7,100010,My peers  listen to me on providing better service,3.2
100405,3.8,100007,My bosses  provide guidance about our vision of the future,4.4
100406,3.5,100007,My peers  listen to me on our vision of the future,3.7
100407,4,100007,My peers do not communicate about providing better service,3.7
100408,4.9,100013,My peers  listen to me on our strategy,3.6
100409,4.6,100005,My bosses do not provide guidance about our strategy,3.8
100410,3.4,100004,My bosses do not listen to me on our strategy,4.1
100411,3.5,100011,My peers do not provide guidance about generating revenue,3.7
100412,3.1,100011,My bosses  support our strategy,3.3
100413,4.8,100009,My peers do not support generating revenue,3.7
100414,4.1,100009,My bosses do not communicate about our strategy,4.3
100415,4,100014,My peers do not support our strategy,3.9
100416,3.6,100007,My bosses do not communicate about our vision of the future,3.8
100417,4.6,100009,My bosses do not support our strategy,3.9
100418,4.8,100006,My peers do not provide guidance about our vision of the future,3
100419,3.9,100004,My bosses do not listen to me on our vision of the future,3
100420,3.5,100013,My peers  communicate about our vision of the future,4.8
100421,3.1,100004,My peers do not listen to me on providing better service,4.3
100422,4,100004,My bosses  support generating revenue,3.7
100423,4.3,100002,My bosses do not listen to me on our vision of the future,3.8
100424,4.3,100001,My bosses do not provide guidance about generating revenue,4.9
100425,3.9,100009,My bosses do not support our strategy,4.4
100426,4.8,100003,My bosses  provide guidance about providing better service,4.1
100427,3.7,100005,My bosses  provide guidance about our vision of the future,4.7
100428,3.7,100014,My bosses  communicate about our vision of the future,3.4
100429,3.5,100013,My bosses  provide guidance about our strategy,4.1
100430,3.4,100012,My peers  provide guidance about our vision of the future,4.7
100431,4.5,100010,My bosses  provide guidance about providing better service,3
100432,3.8,100014,My bosses do not communicate about our strategy,4.4
100433,3.7,100005,My peers  support our vision of the future,4.2
100434,4.5,100005,My peers do not support our vision of the future,4.2
100435,3.5,100006,My peers do not listen to me on our strategy,4.2
100436,3.8,100009,My bosses do not listen to me on providing better service,3.1
100437,4.3,100001,My bosses do not listen to me on our strategy,4
100438,3.4,100011,My bosses  communicate about our strategy,3.1
100439,4.4,100006,My peers do not provide guidance about providing better service,4.5
100440,3.8,100008,My peers do not support generating revenue,3.7
100441,4,100002,My bosses  support our strategy,3.4
100442,3.5,100014,My bosses do not provide guidance about generating revenue,3
100443,3.5,100010,My peers  provide guidance about generating revenue,3.9
100444,4.3,100011,My bosses do not provide guidance about generating revenue,4.9
100445,4.3,100013,My bosses  support providing better service,3.1
100446,4.5,100014,My peers  support generating revenue,4.3
100447,3.4,100014,My peers  support providing better service,4
100448,3.9,100004,My bosses do not listen to me on our strategy,4.9
100449,3.3,100014,My bosses do not communicate about generating revenue,3.4
100450,3,100009,My peers  listen to me on our vision of the future,3.1
100451,4.4,100008,My bosses do not support providing better service,3.3
100452,4.5,100010,My peers do not listen to me on our vision of the future,3.1
100453,4.4,100012,My bosses do not support providing better service,3.7
100454,4,100001,My bosses  listen to me on our strategy,4.7
100455,4.6,100009,My bosses  listen to me on our strategy,3.3
100456,3.8,100001,My peers  provide guidance about generating revenue,3.5
100457,4.6,100001,My peers  listen to me on our vision of the future,3.1
100458,4.1,100005,My peers do not listen to me on our vision of the future,4.9
100459,3.3,100001,My peers  listen to me on our strategy,4.5
100460,4.5,100002,My peers do not provide guidance about our vision of the future,3
100461,3.8,100009,My bosses do not provide guidance about providing better service,4.7
100462,4.9,100014,My peers do not listen to me on providing better service,3.5
100463,4.9,100011,My peers  listen to me on generating revenue,3.4
100464,4.3,100004,My peers  support our strategy,3.8
100465,3.1,100012,My peers  listen to me on our vision of the future,3.7
100466,3.7,100010,My bosses  support our strategy,3.8
100467,4.2,100013,My peers do not provide guidance about generating revenue,3.9
100468,4.3,100007,My peers do not support generating revenue,4.7
100469,3.6,100013,My bosses do not listen to me on our vision of the future,3.4
100470,4.4,100014,My bosses  communicate about our strategy,4.2
100471,3.1,100001,My peers  listen to me on generating revenue,3.6
100472,4.1,100004,My bosses do not provide guidance about our vision of the future,3.4
100473,4.6,100010,My peers  listen to me on providing better service,3.5
100474,4.3,100007,My peers do not listen to me on generating revenue,4.6
100475,4.2,100012,My bosses do not communicate about generating revenue,4.2
100476,3.7,100005,My peers  listen to me on providing better service,3.5
100477,4.8,100003,My bosses do not provide guidance about our vision of the future,3.9
100478,3.1,100013,My bosses do not provide guidance about our strategy,4
100479,4.8,100007,My bosses do not support our strategy,3.7
100480,3.9,100012,My bosses  listen to me on our strategy,3.4
100481,4.4,100009,My bosses  listen to me on our vision of the future,4
100482,3.4,100002,My bosses  support our strategy,4.4
100483,3.6,100008,My peers do not provide guidance about generating revenue,4.9
100484,3.9,100014,My bosses  communicate about generating revenue,3.4
100485,4,100004,My bosses do not listen to me on providing better service,4.4
100486,4,100004,My peers  listen to me on our vision of the future,4.4
100487,4.8,100001,My bosses  support our vision of the future,4
100488,4.7,100008,My peers  provide guidance about our strategy,4.2
100489,4.8,100004,My peers  listen to me on our vision of the future,3.3
100490,3.9,100012,My peers do not support generating revenue,3.5
